 Rank,Customer Name,Total Profit,Percent Of Accued Profit 2016
1,Brooke Gillingham,13639.2932,10.6%
2,Craig Leslie,10142.5394,18.5%
3,Clay Cheatham,6327.0038,23.5%
4,Denny Joy,6192.0258,28.3%
5,Ben Peterman,5471.019199999999,32.6%
6,Justin MacKendrick,5176.873200000001,36.6%
7,Liz Carlisle,4763.686399999999,40.3%
8,Edward Nazzal,4301.1196,43.7%
9,Jasper Cacioppo,3884.7324,46.7%
10,Paul Knutson,3123.3864000000003,49.1%
11,Steve Nguyen,2739.406,51.3%
12,Patrick ODonnell,2634.984,53.3%
13,Shaun Weien,2403.2307,55.2%
14,John Murray,2349.0162,57.0%
15,Nora Price,2166.0008,58.7%
16,Pauline Chand,2096.4096,60.4%
17,Erica Smith,1996.4199999999996,61.9%
18,Christina Anderson,1994.166,63.5%
19,Darrin Van Huff,1990.3444,65.0%
20,Deirdre Greer,1930.74,66.5%
21,Barry Franz,1849.2785999999999,68.0%
22,Bruce Stewart,1780.2568999999999,69.4%
23,Doug Jacobs,1553.3909999999998,70.6%
24,Vicky Freymann,1262.5439999999999,71.6%
25,Eric Barreto,1236.0752000000002,72.5%
26,Patrick Jones,1204.7706999999998,73.5%
27,Eva Jacobs,1158.6454,74.4%
28,Don Weiss,1132.686,75.2%
29,Cyma Kinney,1122.8652,76.1%
30,Maureen Gastineau,1086.7677000000003,77.0%
31,Lindsay Shagiari,994.1060000000001,77.7%
32,Dean Percer,881.6591999999999,78.4%
33,Thea Hendricks,881.45,79.1%
34,Christopher Martinez,858.8279,79.8%
35,John Lucas,784.0351999999999,80.4%
36,Ralph Knight,712.1855999999999,81.0%
37,Emily Grady,646.0654000000001,81.5%
38,Ken Black,645.42,82.0%
39,Peter Buhler,611.6736,82.4%
40,Bill Donatelli,593.1304000000001,82.9%
41,Mike Kennedy,577.0863999999999,83.3%
42,Giulietta Baptist,571.5864,83.8%
43,Valerie Mitchum,564.5068,84.2%
44,Quincy Jones,545.1289999999999,84.7%
45,Shirley Schmidt,491.049,85.0%
46,Kelly Williams,489.3199999999999,85.4%
47,Cindy Stewart,463.21000000000004,85.8%
48,Michelle Huthwaite,459.0018,86.1%
49,Cyra Reiten,448.6730999999999,86.5%
50,Clay Ludtke,434.96439999999996,86.8%
51,Dorris Love,412.2404,87.2%
52,Tom Stivers,405.71999999999997,87.5%
53,Phillip Flathmann,401.08740000000006,87.8%
54,Naresj Patel,382.2116,88.1%
55,Nicole Brennan,364.6751999999999,88.4%
56,Jennifer Jackson,359.3448,88.6%
57,Sandra Flanagan,356.73,88.9%
58,Sung Shariari,356.02500000000003,89.2%
59,Rick Hansen,338.38,89.5%
60,Joy Bell,337.58,89.7%
61,Chuck Clark,336.19339999999994,90.0%
62,Troy Staebel,306.61800000000005,90.2%
63,Lycoris Saunders,299.922,90.5%
64,Michael Stewart,299.0323,90.7%
65,Randy Ferguson,292.2564,90.9%
66,Greg Hansen,283.3752,91.1%
67,Sally Knutson,269.4954,91.4%
68,Art Foster,267.0351999999999,91.6%
69,Ashley Jarboe,263.74280000000005,91.8%
70,Christina Vanderzanden,246.0508,92.0%
71,Dave Hallsten,232.3246,92.1%
72,Maribeth Dona,231.77119999999996,92.3%
73,Carol Darley,228.24559999999997,92.5%
74,Dan Campbell,223.69000000000003,92.7%
75,Michael Paige,220.164,92.8%
76,Saphhira Shifley,202.94280000000006,93.0%
77,Sean ODonnell,201.36599999999999,93.2%
78,Alejandro Ballentine,200.39880000000002,93.3%
79,Heather Kirkland,198.9085,93.5%
80,Bart Folk,197.2656,93.6%
81,Rick Wilson,195.3633,93.8%
82,Maria Bertelson,190.98520000000002,93.9%
83,Sylvia Foulston,189.70740000000006,94.1%
84,Amy Hunt,177.244,94.2%
85,Joni Sundaresam,166.764,94.3%
86,Adrian Shami,166.05750000000003,94.5%
87,Maria Zettner,165.8712,94.6%
88,Frank Price,158.48,94.7%
89,Monica Federle,155.9572,94.8%
90,Tamara Willingham,152.58250000000004,95.0%
91,Grant Carroll,142.7664,95.1%
92,Jim Karlsson,142.66400000000004,95.2%
93,Andy Reiter,141.7988,95.3%
94,Nick Crebassa,140.54399999999998,95.4%
95,Cindy Chapman,139.55939999999998,95.5%
96,Cynthia Voltz,138.948,95.6%
97,Roy Skaria,130.96,95.7%
98,Laura Armstrong,130.86000000000004,95.8%
99,Cynthia Arntzen,111.52080000000001,95.9%
100,Toby Carlisle,109.296,96.0%
101,Cassandra Brandow,108.11999999999999,96.1%
102,Valerie Dominguez,107.68630000000002,96.2%
103,Pierre Wener,106.12620000000001,96.3%
104,Hunter Glantz,103.77279999999998,96.3%
105,Scot Coram,99.2104,96.4%
106,George Zrebassa,93.74400000000001,96.5%
107,Matthew Clasen,93.2058,96.6%
108,Arthur Prichep,91.03819999999999,96.6%
109,Meg Tillman,88.32000000000001,96.7%
110,Ed Braxton,87.747,96.8%
111,Guy Armstrong,83.218,96.8%
112,Matt Connell,82.19760000000001,96.9%
113,John Huston,81.25919999999999,97.0%
114,Ken Lonsdale,80.40559999999999,97.0%
115,Sheri Gordon,79.485,97.1%
116,Jim Kriz,79.14,97.1%
117,Tony Sayre,76.06799999999998,97.2%
118,Robert Marley,75.15599999999999,97.3%
119,Dionis Lloyd,73.43999999999998,97.3%
120,Tracy Zic,73.27680000000001,97.4%
121,Harold Dahlen,72.35399999999998,97.4%
122,Christine Phan,69.84400000000001,97.5%
123,Darrin Martin,66.4776,97.5%
124,David Flashing,66.056,97.6%
125,Dana Kaydos,65.97800000000001,97.6%
126,Scott Cohen,65.3,97.7%
127,Roy Collins,61.85279999999999,97.7%
128,Valerie Takahito,59.450399999999995,97.8%
129,Corey Lock,59.23479999999999,97.8%
130,Sonia Sunley,57.128499999999995,97.9%
131,Vivek Grady,56.6356,97.9%
132,Lisa DeCherney,55.9695,98.0%
133,Gary Hansen,54.980000000000004,98.0%
134,Stuart Van,54.068099999999994,98.1%
135,Pete Armstrong,53.72,98.1%
136,Linda Southworth,53.230399999999996,98.1%
137,Roland Murray,52.97199999999999,98.2%
138,Roy Phan,52.21460000000001,98.2%
139,Kristina Nunn,51.550799999999995,98.3%
140,MaryBeth Skach,51.0144,98.3%
141,John Lee,50.36639999999999,98.3%
142,Benjamin Farhat,48.72560000000001,98.4%
143,Raymond Fair,48.44239999999999,98.4%
144,Michelle Moray,48.36240000000001,98.5%
145,Lindsay Castell,47.94,98.5%
146,Christy Brittain,47.7064,98.5%
147,Bryan Spruell,47.49999999999999,98.6%
148,Katherine Ducich,47.06719999999999,98.6%
149,Erica Hernandez,45.79360000000001,98.6%
150,Brad Thomas,45.495,98.7%
151,Denise Monton,42.36480000000001,98.7%
152,Debra Catini,42.05080000000001,98.7%
153,Anthony Rawles,41.599999999999994,98.8%
154,Luke Foster,41.21520000000001,98.8%
155,Toby Knight,41.16,98.8%
156,Noel Staavos,40.672,98.9%
157,Barry Weirich,40.49850000000001,98.9%
158,Ryan Crowe,40.221,98.9%
159,Philip Fox,39.76,99.0%
160,Brian DeCherney,38.5616,99.0%
161,Michael Kennedy,37.306,99.0%
162,Theresa Coyne,36.959999999999994,99.0%
163,Todd Boyes,36.841199999999986,99.1%
164,Alan Dominguez,36.2376,99.1%
165,Thomas Thornton,36.166399999999996,99.1%
166,Caroline Jumper,36.135000000000005,99.2%
167,Shahid Collister,34.9952,99.2%
168,Ed Ludwig,34.809599999999996,99.2%
169,Henry Goldwyn,34.67999999999999,99.2%
170,Sue Ann Reed,34.188,99.3%
171,Gary Hwang,33.55200000000001,99.3%
172,Rose OBrian,32.9344,99.3%
173,Patrick Bzostek,32.358399999999996,99.3%
174,Neil Knudson,31.992,99.4%
175,Magdelene Morse,31.132799999999996,99.4%
176,Jonathan Doherty,30.9696,99.4%
177,Stephanie Ulpright,30.132000000000005,99.4%
178,Nathan Gelder,28.3868,99.5%
179,Steven Cartwright,28.122000000000003,99.5%
180,Natalie Webber,27.787,99.5%
181,George Ashbrook,27.778,99.5%
182,Lena Creighton,26.755999999999993,99.6%
183,Logan Haushalter,26.567999999999998,99.6%
184,Andrew Allen,26.16,99.6%
185,Carol Triggs,25.56,99.6%
186,Richard Bierner,24.64,99.6%
187,Joseph Airdo,23.119999999999997,99.6%
188,Michelle Arnett,23.1192,99.7%
189,Tanja Norvell,22.889999999999997,99.7%
190,John Castell,22.3717,99.7%
191,Deanra Eno,21.401399999999995,99.7%
192,Frank Atkinson,20.743,99.7%
193,Kean Thornton,19.89,99.8%
194,Matthew Grinstein,19.411200000000004,99.8%
195,Muhammed MacIntyre,17.2242,99.8%
196,Susan Pistek,17.164799999999996,99.8%
197,Darrin Sayre,16.6635,99.8%
198,Odella Nelson,16.560000000000002,99.8%
199,Becky Pak,16.488,99.8%
200,Dennis Bolton,16.2812,99.8%
201,Berenike Kampe,15.996200000000002,99.9%
202,Erin Ashbrook,14.965200000000001,99.9%
203,Aleksandra Gannaway,14.863999999999997,99.9%
204,Don Jones,14.852200000000002,99.9%
205,Alan Barnes,14.036,99.9%
206,Shahid Shariari,13.745599999999998,99.9%
207,Astrea Jones,12.5472,99.9%
208,Jeremy Pistek,12.2254,99.9%
209,Brad Eason,11.523600000000002,99.9%
210,Giulietta Weimer,11.156799999999999,100.0%
211,Beth Thompson,9.4932,100.0%
212,Bill Shonely,9.191,100.0%
213,Daniel Lacy,9.136999999999999,100.0%
214,Patrick Gardner,7.816800000000001,100.0%
215,Thais Sissman,6.430000000000001,100.0%
216,Laurel Elliston,5.203199999999999,100.0%
217,Lisa Hazard,4.32,100.0%
218,Katherine Murray,3.5741999999999994,100.0%
219,Lela Donovan,2.7539999999999996,100.0%
220,Ruben Dartt,2.2384000000000004,100.0%
221,Jack OBriant,2.0000000000000004,100.0%
222,Jeremy Farry,0.9479999999999997,100.0%
