,Order No,Order Date,Customer Name,Address,City,Customer Type,Order Priority,Product Name,Product Category,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,DiscountPercent,DiscountMoney,Order Total,Shipping Cost,Total
0,5014-1,2/11/2013,Patrick Jones,"221 Barkly St,St Kilda",Melbourne,Home Office,High,Artisan Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,3.52,5.58,2.06,29,161.82,3,4.85,156.97,2.99,159.96
1,5016-1,2/11/2013,Alex Russell,"101/12 Victoria Ave, Perth",Melbourne,Home Office,High,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,2.39,4.26,1.87,29,123.54,3,3.71,119.83,1.2,121.03
2,5018-1,2/12/2013,Tamara Dahlen,"61 York St,Sydney",Sydney,Corporate,Critical,"Message Book, One Form per Page",Office Supplies,2.41,3.71,1.3,42,155.82,7,10.91,144.91,1.93,146.84
3,5019-1,2/13/2013,Susan Vittorini,"3 Carrington Road ,Box Hill",Melbourne,Home Office,High,Cando S750 Color Inkjet Printer,Technology,75.0,120.97,45.97,6,725.82,8,58.07,667.75,26.3,694.05
4,5020-1,2/14/2013,Muhammed Yedwab,"18 Whistler St,Sydney",Sydney,Consumer,Critical,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,0.9,2.1,1.2,17,35.7,3,1.07,34.63,0.7,35.33
5,5023-1,2/17/2013,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,Home Office,Low,12 Colored Short Pencils,Office Supplies,1.09,2.6,1.51,47,122.2,10,12.22,109.98,2.4,112.38
6,5024-1,2/18/2013,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,Corporate,Critical,Multimedia Mailers,Office Supplies,99.39,162.93,63.54,32,5213.76,9,469.24,4744.52,19.99,4764.51
7,5025-1,2/20/2013,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,Consumer,Critical,Pizazz Dustless Chalk Sticks,Office Supplies,1.09,1.68,0.59,33,55.44,4,2.22,53.22,1.0,54.22
8,5027-1,2/22/2013,Toby Swindell,"273 George Street,Sydney",Sydney,Small Business,Not Specified,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,54.29,90.48,36.19,8,723.84,7,50.67,673.17,19.99,693.16
9,5029-1,2/23/2013,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,Corporate,Not Specified,Artisan Printable Repositionable Plastic Tabs,Office Supplies,5.33,8.6,3.27,48,412.8,0,0.0,412.8,6.19,418.99
10,5031-1,2/25/2013,Paul Prost,"120 Hardware St,Melbourne",Melbourne,Corporate,Medium,Security-Tint Envelopes,Office Supplies,4.89,7.64,2.75,18,137.52,10,13.75,123.77,1.39,125.16
11,5033-1,2/25/2013,Katherine Ducich,"61A Bay Road,Wollstonecraft",Sydney,Corporate,Medium,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,54.29,90.48,36.19,3,271.44,3,8.14,263.3,19.99,283.29
12,5034-1,2/26/2013,Natalie Webber,"98-104 Parramatta Rd,Camperdown",Sydney,Corporate,High,Artisan Arch Ring Binders,Office Supplies,36.02,58.1,22.08,50,2905.0,5,145.25,2759.75,1.49,2761.24
13,5036-1,3/7/2013,Sean ODonnell,"541 Church St ,Richmond",Melbourne,Corporate,Critical,OIC Thumb-Tacks,Office Supplies,0.71,1.14,0.43,50,57.0,6,3.42,53.58,0.7,54.28
14,5037-1,3/11/2013,Art Foster,"14 Money Street, Perth",Sydney,Home Office,Critical,Apex Elite Stainless Steel Scissors,Office Supplies,3.42,8.34,4.92,16,133.44,3,4.0,129.44,2.64,132.08
15,5038-1,3/13/2013,Darren Powers,"120 Hardware St,Melbourne",Melbourne,Corporate,Low,OIC Thumb-Tacks,Office Supplies,0.71,1.14,0.43,38,43.32,2,0.87,42.45,0.7,43.15
16,5039-1,3/15/2013,Michael Grace,"402 Argyle St,Moss Vale",Sydney,Corporate,Medium,"Alto Parchment Paper, Assorted Colors",Office Supplies,4.59,7.28,2.69,22,160.16,1,1.6,158.56,11.15,169.71
17,5040-1,3/16/2013,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,Small Business,Low,"Steady Colorific Colored Pencils, 12/Box",Office Supplies,1.3,2.88,1.58,48,138.24,7,9.68,128.56,1.01,129.57
18,5043-1,3/23/2013,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,Small Business,High,Smiths Gold Paper Clips,Office Supplies,1.82,2.98,1.16,22,65.56,4,2.62,62.94,1.58,64.52
19,5045-1,3/26/2013,Mick Brown,"523 King St,Newtown",Sydney,Consumer,Not Specified,UGen RF Keyboard,Technology,81.59,159.99,78.4,30,4799.7,1,48.0,4751.7,5.5,4757.2
20,5047-1,3/27/2013,Edward Becker,"501 George St,Sydney",Sydney,Home Office,Low,Artisan Printable Repositionable Plastic Tabs,Office Supplies,5.33,8.6,3.27,37,318.2,4,12.73,305.47,6.19,311.66
21,5048-1,3/27/2013,Erica Smith,"188 Pitt Street,Sydney",Sydney,Small Business,Medium,Smiths Standard Envelopes,Office Supplies,3.52,5.68,2.16,24,136.32,6,8.18,128.14,1.39,129.53
22,5049-1,3/30/2013,Justin Knight,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,Corporate,Not Specified,Office Shears by Apex,Office Supplies,0.94,2.08,1.14,4,8.32,2,0.17,8.15,2.56,10.71
23,5050-1,4/19/2013,Craig Carroll,"99 Lygon Street,East Brunswick",Melbourne,Corporate,Not Specified,Artisan Printable Repositionable Plastic Tabs,Office Supplies,5.33,8.6,3.27,36,309.6,6,18.58,291.02,6.19,297.21
24,5052-1,4/20/2013,Laura Armstrong,"240-242 Johnston Street,Fitzroy",Melbourne,Small Business,Not Specified,EcoTones Memo Sheets,Office Supplies,2.52,4.0,1.48,31,124.0,1,1.24,122.76,1.3,124.06
25,5055-1,4/27/2013,Noah Childs,"78 Stanley St,Darlinghurst",Sydney,Home Office,High,Smiths Premium Bright 1-Part Blank Computer Paper,Office Supplies,7.61,12.28,4.67,29,356.12,0,0.0,356.12,6.35,362.47
26,5057-1,4/28/2013,Rob Haberlin,"8 Rankins Lane ,Melbourne",Melbourne,Corporate,Medium,Artisan 479 Labels,Office Supplies,1.59,2.61,1.02,9,23.49,6,1.41,22.08,0.5,22.58
27,5059-1,4/28/2013,Barry Weirich,"1/20 Pendal Lane, Perth",Sydney,Corporate,Medium,Beekin 105-Key Black Keyboard,Technology,6.39,19.98,13.59,7,139.86,1,1.4,138.46,4.0,142.46
28,5060-1,4/30/2013,Kelly Williams,"499-501 Lygon Street,Carlton North",Melbourne,Corporate,Medium,Adesso Programmable 142-Key Keyboard,Technology,32.02,152.48,120.46,16,2439.68,10,243.97,2195.71,4.0,2199.71
29,5061-1,4/30/2013,Jack OBriant,"85-113 Dunning Ave,Rosebery",Sydney,Small Business,Not Specified,Smiths Premium Bright 1-Part Blank Computer Paper,Office Supplies,7.61,12.28,4.67,27,331.56,3,9.95,321.61,6.35,327.96
30,5062-1,4/30/2013,Pamela Stobb,"273 George Street,Sydney",Sydney,Consumer,Not Specified,TechSavi Access Keyboard,Technology,10.07,15.98,5.91,39,623.22,9,56.09,567.13,4.0,571.13
31,5063-1,5/1/2013,William Brown,"3 Carrington Road ,Box Hill",Melbourne,Corporate,Not Specified,Smiths SlimLine Pencil Sharpener,Office Supplies,4.79,11.97,7.18,7,83.79,5,4.19,79.6,5.81,85.41
32,5064-1,5/2/2013,Nat Carroll,"499-501 Lygon Street,Carlton North",Melbourne,Home Office,Not Specified,Artisan Premier Heavy-Duty Binder with Round Locking Rings,Office Supplies,8.71,14.28,5.57,42,599.76,10,59.98,539.78,2.99,542.77
33,5066-1,5/2/2013,Troy Staebel,"1-2/299 Sussex St,Sydney",Sydney,Small Business,Critical,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,54.29,90.48,36.19,15,1357.2,5,67.86,1289.34,19.99,1309.33
34,5068-1,5/3/2013,Dario Medina,"60 York St,Sydney",Sydney,Small Business,Critical,Smiths Standard Envelopes,Office Supplies,3.52,5.68,2.16,20,113.6,7,7.95,105.65,1.39,107.04
35,5070-1,5/4/2013,Lynn Smith,"61A Bay Road,Wollstonecraft",Sydney,Corporate,Critical,Steady Liquid Accent Highlighters,Office Supplies,3.47,6.68,3.21,41,273.88,8,21.91,251.97,1.5,253.47
36,5071-1,5/5/2013,Christopher Schild,"4A Lyons St,Strathfield",Sydney,Corporate,Medium,"Laser Neon Mac Format Diskettes, 10/Pack",Technology,1.87,2.23,0.36,41,91.24,6,5.47,85.76,2.83,88.59
37,5071-2,5/5/2013,Christopher Schild,"4A Lyons St,Strathfield",Sydney,Corporate,Medium,Steady Liquid Accent Highlighters,Office Supplies,3.47,6.68,3.21,2,13.36,1,0.13,13.23,1.5,14.73
38,5075-1,5/5/2013,Dave Kipp,"221 Barkly St,St Kilda",Melbourne,Corporate,Low,TechSavi Access Keyboard,Technology,10.07,15.98,5.91,34,543.32,10,54.33,488.99,4.0,492.99
39,5077-1,5/7/2013,Grant Carroll,"10 O'Connell St,Sydney",Sydney,Small Business,Not Specified,Smiths SlimLine Pencil Sharpener,Office Supplies,4.79,11.97,7.18,18,215.46,8,17.24,198.22,5.81,204.03
40,5079-1,5/9/2013,Liz Pelletier,"79 Elliott St,Balmain",Sydney,Home Office,Critical,1726 Digital Answering Machine,Technology,8.82,20.99,12.17,8,167.92,9,15.11,152.81,4.81,157.62
41,5081-1,5/9/2013,Thea Hudgings,"240-242 Johnston Street,Fitzroy",Melbourne,Consumer,Critical,Pizazz Dustless Chalk Sticks,Office Supplies,1.09,1.68,0.59,18,30.24,6,1.81,28.43,1.0,29.43
42,5084-1,5/13/2013,Alex Russell,"101/12 Victoria Ave, Perth",Melbourne,Home Office,Medium,EcoTones Memo Sheets,Office Supplies,2.52,4.0,1.48,19,76.0,9,6.84,69.16,1.3,70.46
43,5086-1,5/14/2013,Eudokia Martin,"412 Brunswick St,Fitzroy",Melbourne,Home Office,High,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,13.88,22.38,8.5,26,581.88,10,58.19,523.69,15.1,538.79
